StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q59,Q60,Q1,Q2,Q3,Q3_4_TEXT,Q4,Q5,Q6,Q7,Q12,Q13,Q8,Q10,Q11,Q14,Q15,Q21,Q22,Q22_1_TEXT
2023-03-29 18:40:10,2023-03-29 18:47:10,100,420,TRUE,2023-03-29 18:47:11,anonymous,EN,"I Consent to participate in this research study, including audio and video",3/29/2023,92,21,Man,,Male,No,,Asian,"Computing Student (undergraduate),Part-time job that involves programming",Computer Science,5,"C++, C#, Python, Java, SQL, HTML, CSS, PHP, Javascript (Node.js, React), Flutter, Linux, etc",Test,Internships (9 months total) + Partime job (2 years total),<elided_for_review>,Yes,No,
2023-04-02 18:34:43,2023-04-02 18:38:58,100,255,TRUE,2023-04-02 18:38:59,anonymous,EN,"I Consent to participate in this research study, including audio and video",40223,782,21,Man,,Male,No,,Asian,Computing Student (undergraduate),"Computer Science, Data Science, Applied Mathematics",5,6,No,N/A,<elided_for_review>,Yes,No,
2023-04-04 11:05:39,2023-04-04 11:08:49,100,190,TRUE,2023-04-04 11:08:50,anonymous,EN,"I Consent to participate in this research study, including audio and video",04/04/23,2731,22,Man,,Male,No,,White,Computing Student (undergraduate),Computer Science & Cognitive Science,~4,"C++, python",No,"Yes, I worked as a software engineer last summer for 12 weeks",<elided_for_review>,No,No,
2023-03-29 12:32:08,2023-03-29 12:37:12,97,304,FALSE,2023-04-05 13:08:21,anonymous,EN,"I Consent to participate in this research study, including audio and video",03/29/23,26,21,Woman,,Female,No,,White,"Computing Student (undergraduate),Non-computing student,Part-time job that involves programming","Computer Science and Molecular, Cellular, and Developmental Biology",4,"C++, Python, C, R",No,Yes. I have been an IA for an eecs class for 2 years.,<elided_for_review>,Yes,No,
2023-03-29 17:05:31,2023-03-29 17:13:30,97,478,FALSE,2023-04-05 17:13:35,anonymous,EN,"I Consent to participate in this research study, including audio and video",3/30/23,,22,Man,,Male,No,,White,"Computing Student (undergraduate),Non-computing student,Part-time job that involves programming,Part-time or full-tume job that does not involve programming","Computer Science, Cognitive Science, Biopsychology Cognition and Neuroscience",4,"C,C++,Python","Course,Test",1 year,<elided_for_review>,Yes,No,
2023-03-30 02:18:35,2023-03-30 02:21:18,97,162,FALSE,2023-04-06 02:21:23,anonymous,EN,"I Consent to participate in this research study, including audio and video",03/30/23,71,20,Man,,Male,No,,Asian,,Computer Science,5,"C++, Python, Java, Javascript",No,3 months,<elided_for_review>,No,No,
2023-04-08 08:38:35,2023-04-08 08:41:15,100,159,TRUE,2023-04-08 08:41:15,anonymous,EN,"I Consent to participate in this research study, including audio and video",04/08/23,193,22,Man,,Male,No,,Asian,Computing Student (undergraduate),Computer Science,5,C++/Rust/Python/Golang,No,6 months,<elided_for_review>,No,No,
2023-04-02 18:12:28,2023-04-02 18:20:36,9,488,FALSE,2023-04-09 18:20:37,anonymous,EN,"I Consent to participate in this research study, including audio and video",04/02/23,,,,,,,,,,,,,,,,,,
2023-04-09 20:39:45,2023-04-09 20:43:38,100,233,TRUE,2023-04-09 20:43:39,anonymous,EN,"I Consent to participate in this research study, including audio and video",04/09/23,315,20,Man,,Male,No,,Asian,"Computing Student (undergraduate),Part-time or full-tume job that does not involve programming",Computer Science,3,"C++, python",No,No,<elided_for_review>,Yes,No,
2023-04-10 12:43:12,2023-04-10 13:19:40,100,2188,TRUE,2023-04-10 13:19:41,anonymous,EN,"I Consent to participate in this research study, including audio and video",4/10/23,209,23,Woman,,Female,No,,White,Computing Student (undergraduate),computer science,6,"C/C++, java, javascript, python, html/css, react",No,3 months,<elided_for_review>,Yes,No,
2023-04-04 11:37:13,2023-04-12 12:35:45,100,694711,TRUE,2023-04-12 12:35:45,anonymous,EN,"I Consent to participate in this research study, including audio and video",04/04/23,3029,21,Man,,Male,No,,Asian,Computing Student (undergraduate),Computer Science,1,"C++, javascript, python",No,"One internship, 3 months",<elided_for_review>,Yes,No,
2023-04-29 11:22:39,2023-04-29 11:34:26,100,707,TRUE,2023-04-29 11:34:26,anonymous,EN,"I Consent to participate in this research study, including audio and video",04/29/23,12600,24,Woman,,Female,No,,White,Full-time job that involves programming,,7,C++ Matlab Python Bash,Test,"Yes, 3 years",<elided_for_review>,No,No,
2023-04-24 12:35:02,2023-04-24 12:36:08,9,65,FALSE,2023-05-01 12:36:12,anonymous,EN,"I Consent to participate in this research study, including audio and video",05/03/23,,,,,,,,,,,,,,,,,,
2023-05-02 09:59:25,2023-05-02 10:04:08,100,283,TRUE,2023-05-02 10:04:09,anonymous,EN,"I Consent to participate in this research study, including audio and video",05/02/23,1104,21,Man,,Male,No,,White,"Computing Student (undergraduate),Part-time job that involves programming,Full-time job that involves programming",Computer Science,4,"Python, C, C++, Java, JavaScript",No,14 months,<elided_for_review>,No,No,
2023-05-02 20:18:28,2023-05-02 20:29:49,100,681,TRUE,2023-05-02 20:29:49,anonymous,EN,"I Consent to participate in this research study, including audio and video",05/03/23,4012,23,Man,,Male,No,,White,Full-time job that involves programming,,6,4,No,1.5 years,,Yes,No,
2023-05-03 18:49:22,2023-05-03 19:04:40,97,917,FALSE,2023-05-10 19:04:42,anonymous,EN,"I Consent to participate in this research study, including audio and video",05/03/2023,1104,21,Man,,Male,No,,White,"Computing Student (undergraduate),Part-time job that involves programming,Full-time job that involves programming",Computer Science,4,"c,c++,python,java,javascript",No,14 months,<elided_for_review>,No,No,
2023-05-24 08:55:23,2023-05-24 09:11:29,100,965,TRUE,2023-05-24 09:11:31,anonymous,EN,"I Consent to participate in this research study, including audio and video",05/24/23,32420,27,Woman,,Female,No,,Asian,Part-time or full-tume job that does not involve programming,,3,"C++, Python",No,No,<elided_for_review>,Yes,No,
2023-05-30 09:22:37,2023-05-30 09:43:00,100,1222,TRUE,2023-05-30 09:43:00,anonymous,EN,"I Consent to participate in this research study, including audio and video",05/30/23,481,24,Woman,,Female,No,,White,Computing Student (graduate),Electrical Engineering,7,6,Test,1 year,<elided_for_review>,Yes,No,
2023-06-07 12:37:26,2023-06-07 12:42:06,100,280,TRUE,2023-06-07 12:42:06,anonymous,EN,"I Consent to participate in this research study, including audio and video",06/07/2023,13012,23,Man,,Male,No,,Asian,Computing Student (graduate),Electrical and Computer Engineering,8,"Python, MATLAB",No,8 months,<elided_for_review>,No,No,
2023-06-12 16:10:02,2023-06-12 16:14:54,100,291,TRUE,2023-06-12 16:14:55,anonymous,EN,"I Consent to participate in this research study, including audio and video",06/12/23,14583,20,Man,,Male,No,,Asian,Computing Student (undergraduate),Computer Science,7,"Java, Python, C++, Swift, Kotlin, C, Scratch",No,"Yes, the paid research I am currently enrolled in has been going on since 1 month",<elided_for_review>,Yes,No,
2023-06-15 00:13:39,2023-06-15 10:10:23,100,35804,TRUE,2023-06-15 10:10:24,anonymous,EN,"I Consent to participate in this research study, including audio and video",06/15/23,19391,18,Woman,,Female,No,,Asian,Non-computing student,Chemical Engineering,1,3,Course,No,<elided_for_review>,No,No,
2023-06-17 16:47:57,2023-06-17 17:01:25,100,808,TRUE,2023-06-17 17:01:26,anonymous,EN,"I Consent to participate in this research study, including audio and video",06/17/2023,18602,20,Man,,Male,No,,Asian,Computing Student (undergraduate),Data Science,3,"Python, C++, R, SQL, Go",Test,Four months,<elided_for_review>,No,No,
2023-07-11 01:10:26,2023-07-11 01:23:04,100,758,TRUE,2023-07-11 01:23:05,anonymous,EN,"I Consent to participate in this research study, including audio and video",07/11/23,,23,Non-binary,,Female,No,,White,Part-time or full-tume job that does not involve programming,,8,"C++, Java, HTML, JavaScript, CSS, C, Python",No,"Yes, summer internship 3 months",<elided_for_review>,No,No,
2023-07-05 14:03:42,2023-07-05 15:03:31,97,3588,FALSE,2023-07-12 15:03:34,anonymous,EN,"I Consent to participate in this research study, including audio and video",7/5/2023,32112,20,Man,,Male,No,,Black or African American,Computing Student (undergraduate),Software engineering ,2,"JavaScript, python, C++, go, Java, C, ocaml and dart.",No,6 months,<elided_for_review>,Yes,No,
2023-07-18 19:59:13,2023-07-18 20:02:13,100,179,TRUE,2023-07-18 20:02:13,anonymous,EN,"I Consent to participate in this research study, including audio and video",03/27/23,47,27,Woman,,Female,No,,Asian,Full-time job that involves programming,,4,"Python, Java",No,4,<elided_for_review>,Yes,No,
