ID,treatment,version,problemNumber,problem,problemType,responseTime,accuracy,sessionNo,mrDifficulty,changeMrDifficulty,programDifficulty,changeProgramDifficulty,age,gender,race,occupation,yearsProgramming,numPL
p32420,A,version1,55,326.bmp,CODING,13.67538070678711,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,3,328.bmp,ARRAY,31.2347412109375,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,1,333.bmp,CODING,63.31283187866211,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,29,313.bmp,TREE,53.71439743041992,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,48,204.bmp,ARRAY,12.93919563293457,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,14,29.BMP,ARRAY,7.268628120422363,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,59,202.bmp,ARRAY,3.776888847351074,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,56,2.BMP,ARRAY,1.8337492942810059,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,58,14.BMP,ARRAY,6.988227844238281,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,2,5.BMP,ARRAY,6.465652942657471,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,15,17.BMP,ARRAY,8.61481761932373,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,18,207.bmp,ARRAY,17.073530197143555,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,24,203.bmp,ARRAY,1.8580806255340576,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,12,20.BMP,ARRAY,5.329156875610352,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,22,211.bmp,TREE,12.26804256439209,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,28,41.BMP,TREE,10.319992065429688,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,1,43.BMP,TREE,19.173128128051758,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,21,57.BMP,TREE,21.91085433959961,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,5,37.BMP,TREE,16.813112258911133,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,43,35.BMP,TREE,12.718975067138672,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,44,39.BMP,TREE,18.00713348388672,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,23,51.BMP,TREE,11.952910423278809,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,52,40.jpg,TREE,22.936973571777344,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,60,48.BMP,TREE,9.713852882385254,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,9,53.BMP,TREE,8.000693321228027,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,6,71.BMP,MENTAL,4.093667984008789,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,7,112.jpg,MENTAL,8.778900146484375,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,53,106.jpg,MENTAL,10.423140525817871,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,29,91.jpg,MENTAL,7.289140701293945,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,33,109.jpg,MENTAL,21.532894134521484,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,13,65.BMP,MENTAL,4.234176158905029,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,41,110.jpg,MENTAL,21.4451847076416,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,45,111.jpg,MENTAL,13.231632232666016,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,19,117.jpg,MENTAL,18.715660095214844,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,26,77.BMP,MENTAL,15.660772323608398,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,51,86.BMP,MENTAL,4.253033638000488,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,34,108.jpg,MENTAL,11.847702026367188,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,31,68.BMP,MENTAL,3.2991068363189697,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,25,116.jpg,MENTAL,11.616561889648438,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,42,119.jpg,MENTAL,25.436010360717773,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,8,115.jpg,MENTAL,16.91668128967285,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,37,88.BMP,MENTAL,4.842768669128418,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,3,84.BMP,MENTAL,5.838874340057373,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,47,64.BMP,MENTAL,5.696868419647217,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,55,141.bmp,CODING,15.424495697021484,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,54,135.bmp,CODING,12.450515747070312,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,10,145.bmp,CODING,41.09569549560547,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,32,143.bmp,CODING,20.479001998901367,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,27,149.bmp,CODING,23.186382293701172,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,4,138.bmp,CODING,52.84465026855469,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,36,129.bmp,CODING,12.961617469787598,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,30,150.bmp,CODING,9.05405044555664,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,35,132.bmp,CODING,25.919097900390625,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,39,146.bmp,CODING,34.33213806152344,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,40,302.bmp,TREE,42.639347076416016,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,11,305.bmp,TREE,14.40726089477539,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,38,308.bmp,TREE,49.722042083740234,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,17,311.bmp,TREE,25.16609001159668,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,57,314.bmp,TREE,11.063232421875,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,50,317.bmp,TREE,21.327585220336914,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,61,320.bmp,TREE,13.017951965332031,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,20,323.bmp,TREE,29.928457260131836,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,49,325.bmp,CODING,24.58091926574707,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,46,329.bmp,ARRAY,13.398457527160645,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,B,version2,16,332.bmp,CODING,39.32037353515625,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,37,16.BMP,ARRAY,3.798095703125,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,26,4.BMP,ARRAY,17.580047607421875,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,33,3.BMP,ARRAY,23.19429588317871,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,41,11.BMP,ARRAY,10.103554725646973,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,23,1.BMP,ARRAY,9.807340621948242,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,34,9.BMP,ARRAY,62.94479751586914,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,22,13.BMP,ARRAY,10.446938514709473,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,55,22.BMP,ARRAY,14.949563026428223,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,24,206.bmp,ARRAY,8.302411079406738,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,3,23.BMP,ARRAY,12.205117225646973,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,39,54.BMP,TREE,27.677030563354492,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,58,49.BMP,TREE,12.313828468322754,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,27,56.BMP,TREE,20.786161422729492,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,47,59.BMP,TREE,12.719416618347168,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,45,209.bmp,TREE,7.178684234619141,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,14,46.BMP,TREE,58.70981216430664,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,56,60.BMP,TREE,7.975840091705322,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,21,208.bmp,TREE,22.840343475341797,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,53,42.BMP,TREE,5.544668197631836,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,49,213.bmp,TREE,9.551895141601562,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,35,33.BMP,TREE,17.583017349243164,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,32,97.jpg,MENTAL,13.39012622833252,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,48,83.BMP,MENTAL,5.393772125244141,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,36,114.jpg,MENTAL,11.111274719238281,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,43,120.jpg,MENTAL,7.523800849914551,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,46,93.jpg,MENTAL,14.230216026306152,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,8,73.BMP,MENTAL,9.9273681640625,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,40,89.BMP,MENTAL,5.133998394012451,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,10,98.jpg,MENTAL,26.018901824951172,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,61,96.jpg,MENTAL,16.182043075561523,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,44,82.BMP,MENTAL,5.535976886749268,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,59,105.jpg,MENTAL,25.549625396728516,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,31,66.BMP,MENTAL,5.532994747161865,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,28,113.jpg,MENTAL,15.610997200012207,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,54,99.jpg,MENTAL,8.31690502166748,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,5,101.jpg,MENTAL,10.52783203125,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,29,118.jpg,MENTAL,37.419673919677734,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,2,76.BMP,MENTAL,22.942110061645508,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,13,72.BMP,MENTAL,6.1709818840026855,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,60,130.bmp,CODING,22.262863159179688,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,17,131.bmp,CODING,20.072519302368164,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,30,133.bmp,CODING,33.25749206542969,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,12,128.bmp,CODING,47.810123443603516,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,57,136.bmp,CODING,16.729543685913086,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,38,137.bmp,CODING,35.877113342285156,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,51,126.bmp,CODING,16.095563888549805,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,25,140.bmp,CODING,34.6319465637207,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,4,147.bmp,CODING,40.56767272949219,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,20,127.bmp,CODING,35.10735321044922,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,50,38.BMP,TREE,14.240004539489746,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,16,303.bmp,TREE,16.00556755065918,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,18,306.bmp,TREE,41.35773849487305,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,7,309.bmp,TREE,66.09972381591797,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,15,312.bmp,TREE,23.06916618347168,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,6,315.bmp,CODING,29.26397132873535,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,52,318.bmp,TREE,18.00536346435547,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,42,321.bmp,TREE,17.850257873535156,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,11,324.bmp,CODING,45.12178039550781,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,9,327.bmp,ARRAY,25.153671264648438,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,19,330.bmp,ARRAY,26.166059494018555,0,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,C,version3,1,331.bmp,CODING,44.70310592651367,1,1,2,N/A,4,N/A,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p18602,C,version3,2,16.BMP,ARRAY,7.136618137359619,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,13,4.BMP,ARRAY,7.406235218048096,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,43,3.BMP,ARRAY,8.882875442504883,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,10,11.BMP,ARRAY,5.553421974182129,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,56,1.BMP,ARRAY,12.959466934204102,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,24,9.BMP,ARRAY,9.399237632751465,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,29,13.BMP,ARRAY,14.604655265808105,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,8,22.BMP,ARRAY,6.86529541015625,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,12,206.bmp,ARRAY,8.037469863891602,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,51,23.BMP,ARRAY,12.05888843536377,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
p18602,C,version3,5,54.BMP,TREE,8.33478832244873,1,2,3,same,3,same,20,Male,Asian,Computing Student (undergraduate),3,5
